state,indicator_id,indicator,indicator_category,urban,rural,total,total_2005-06
Gujarat,101,Currently married women who usually participate in household decisions (%),Women's Empowerment and Gender Based Violence (age 15-49 years),86.9,84.2,85.4,83.8
Gujarat,102,Women who worked in the last 12 months who were paid in cash (%),Women's Empowerment and Gender Based Violence (age 15-49 years),31.8,28.9,30.2,33.3
Gujarat,103,Ever-married women who have ever experienced spousal violence (%),Women's Empowerment and Gender Based Violence (age 15-49 years),14.1,24.8,20.1,27.5
Gujarat,104,Ever-married women who have experienced violence during any pregnancy (%),Women's Empowerment and Gender Based Violence (age 15-49 years),0.4,3,1.8,na
Gujarat,105,Women owning a house and/or land (alone or jointly with others) (%),Women's Empowerment and Gender Based Violence (age 15-49 years),29.7,25.2,27.2,na
Gujarat,106,Women having a bank or savings account that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),56.5,42.2,48.6,19.9
Gujarat,107,Women having a mobile phone that they themselves use (%),Women's Empowerment and Gender Based Violence (age 15-49 years),63.5,35.4,47.9,na
Gujarat,108,Women age 15-24 years who use hygienic methods of protection during their menstrual period18 (%),Women's Empowerment and Gender Based Violence (age 15-49 years),70,53.5,60.3,na
Gujarat,109,Women who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),5.2,9.1,7.4,8.4
Gujarat,110,Men who use any kind of tobacco (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),46,56.2,51.4,60.2
Gujarat,111,Women who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),0.1,0.4,0.3,0.8
Gujarat,112,Men who consume alcohol (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),10.6,11.4,11.1,16.1
Gujarat,113,Women who tried to stop smoking or using tobacco in any other form during the past 12 months (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),39.7,35.6,36.9,na
Gujarat,114,Men who tried to stop smoking or using tobacco in any other form (during the past 12 months) (%),Tobacco Use and Alcohol Consumption among Adults (age 15-49 years),39.9,40.7,40.4,na
Gujarat,23,#N/A,#N/A,27.5,38.5,33.6,42.9
Haryana,23,#N/A,#N/A,31,42.7,38.1,38.2
Haryana,1,Population (female) age 6 years and above who ever attended school (%),Population and Household Profile ,77.8,65.6,70.3,59.8
Haryana,2,Population below age 15 years (%),Population and Household Profile ,27.4,28.1,27.8,34.7
Haryana,3,"Sex ratio of the total population (females per 1,000 males)",Population and Household Profile ,846,895,876,897
Haryana,4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",Population and Household Profile ,785,867,836,762
Haryana,5,Children under age 5 years whose birth was registered (%),Population and Household Profile ,94,94.3,94.2,71.7
Haryana,6,Households with electricity (%),Population and Household Profile ,99.6,98.3,98.8,91.5
Haryana,7,Households with an improved drinking-water source1 (%),Population and Household Profile ,88,94.3,91.7,95.6
Haryana,8,Households using improved sanitation facility (%),Population and Household Profile ,81.7,77.4,79.2,40
Haryana,9,Households using clean fuel for cooking (%),Population and Household Profile ,84.9,28.9,52.2,29.9
Haryana,10,Households using iodized salt (%),Population and Household Profile ,95.3,91.1,92.8,71.8
Haryana,11,Households with any usual member covered by a health scheme or health insurance (%),Population and Household Profile ,16.3,9.3,12.2,6.7
Haryana,12,Women who are literate (%),Characteristics of Adults (age 15-49) ,80.3,72.1,75.4,60.4
Haryana,13,Men who are literate (%),Characteristics of Adults (age 15-49) ,93,88.9,90.6,83.4
Haryana,14,Women with 10 or more years of schooling (%),Characteristics of Adults (age 15-49) ,55.1,39.7,45.8,29.6
Haryana,15,Women age 20-24 years married before age 18 years (%),Marriage and Fertility,19.6,17.8,18.5,39.8
Haryana,16,Men age 25-29 years married before age 21 years (%),Marriage and Fertility,25.7,35.8,31.3,41.6
Haryana,17,Total fertility rate (children per woman),Marriage and Fertility,1.8,2.2,2.1,2.7
Haryana,18,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),Marriage and Fertility,4.9,6.4,5.9,12.1
Haryana,19,Infant mortality rate (IMR),"Infant and Child Mortality Rates (per 1,000 live births)",31,33,33,41
Haryana,20,Under-five mortality rate (U5MR),"Infant and Child Mortality Rates (per 1,000 live births)",36,44,41,52
Haryana,21,Any method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),60,66.2,63.7,63.4
Haryana,22,Any modern method (%),Current Use of Family Planning Methods (currently married women age 15-49 years),55.1,62.2,59.4,58.3
Haryana,24,Male sterilization (%),Current Use of Family Planning Methods (currently married women age 15-49 years),0.5,0.6,0.6,0.7
Haryana,25,IUD/PPIUD (%),Current Use of Family Planning Methods (currently married women age 15-49 years),6.2,5.4,5.7,4.7
Haryana,26,Pill (%),Current Use of Family Planning Methods (currently married women age 15-49 years),3,2.4,2.7,2.8
Haryana,27,Condom (%),Current Use of Family Planning Methods (currently married women age 15-49 years),13.9,10.7,12,11.8
Haryana,28,Total unmet need (%),Unmet Need for Family Planning (currently married women age 15-49 years),10.9,8.3,9.3,9.5
Haryana,29,Unmet need for spacing (%),Unmet Need for Family Planning (currently married women age 15-49 years),4,3.7,3.8,3
Haryana,30,Health worker ever talked to female non-users about family planning (%),Quality of Family Planning Services,23,23,23,11.4
Haryana,31,Current users ever told about side effects of current method (%),Quality of Family Planning Services,66.8,61.4,63.3,41.4
Haryana,32,Mothers who had antenatal check-up in the first trimester (%),Maternity Care (for last birth in the 5 years before the survey),63.5,63,63.2,51.4
Haryana,33,Mothers who had at least 4 antenatal care visits (%),Maternity Care (for last birth in the 5 years before the survey),49.3,42.6,45.1,41.8
Haryana,34,Mothers whose last birth was protected against neonatal tetanus (%),Maternity Care (for last birth in the 5 years before the survey),93,91.9,92.3,83.4
Haryana,35,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),Maternity Care (for last birth in the 5 years before the survey),31.3,33.2,32.5,17.7
Haryana,36,Mothers who had full antenatal care (%),Maternity Care (for last birth in the 5 years before the survey),21.4,18.3,19.5,11.9
Haryana,37,Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),Maternity Care (for last birth in the 5 years before the survey),91.1,92.5,92,na
Haryana,38,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),Maternity Care (for last birth in the 5 years before the survey),67.4,67.3,67.3,39.3
Haryana,39,Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),Maternity Care (for last birth in the 5 years before the survey),9.3,16,13.5,na
Haryana,40,Average out of pocket expenditure per delivery in public health facility (Rs.),Maternity Care (for last birth in the 5 years before the survey),2300,1104,1503,na
Haryana,41,Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),Maternity Care (for last birth in the 5 years before the survey),0.9,1.7,1.4,0
Haryana,42,Children who received a health check after birth from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of birth (%),Maternity Care (for last birth in the 5 years before the survey),19.6,22.6,21.4,na
Haryana,43,Institutional births (%),Delivery Care (for births in the 5 years before the survey),80.6,80.4,80.5,35.7
Haryana,44,Institutional births in public facility (%),Delivery Care (for births in the 5 years before the survey),46.3,55.2,52,13.9
Haryana,45,Home delivery conducted by skilled health personnel (out of total deliveries) (%),Delivery Care (for births in the 5 years before the survey),6.5,5.3,5.8,13.3
Haryana,46,Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),Delivery Care (for births in the 5 years before the survey),85,84.5,84.7,48.9
Haryana,47,Births delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),13.6,10.6,11.7,5.3
Haryana,48,Births in a private health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),25.3,25.3,25.3,15.2
Haryana,49,Births in a public health facility delivered by caesarean section (%),Delivery Care (for births in the 5 years before the survey),10.7,7.6,8.6,14.3
Haryana,50,"Children age 12-23 months fully immunized (BCG, measles, and 3 doses each of polio and DPT) (%)",Child Immunizations and Vitamin A Supplementation,57,65.1,62.2,65.3
Haryana,51,Children age 12-23 months who have received BCG (%),Child Immunizations and Vitamin A Supplementation,93.8,92.3,92.8,84.9
Haryana,52,Children age 12-23 months who have received 3 doses of polio vaccine (%),Child Immunizations and Vitamin A Supplementation,72.1,77,75.3,82.8
Haryana,53,Children age 12-23 months who have received 3 doses of DPT vaccine (%),Child Immunizations and Vitamin A Supplementation,71.6,79.2,76.5,74.2
Haryana,54,Children age 12-23 months who have received measles vaccine (%),Child Immunizations and Vitamin A Supplementation,78.8,79.1,79,75.5
Haryana,55,Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),Child Immunizations and Vitamin A Supplementation,50.8,56.2,54.3,na
Haryana,56,Children age 9-59 months who received a vitamin A dose in last 6 months (%),Child Immunizations and Vitamin A Supplementation,65.7,67.3,66.7,10.5
Haryana,57,Children age 12-23 months who received most of the vaccinations in public health facility (%),Child Immunizations and Vitamin A Supplementation,91.4,96.6,94.8,92.6
Haryana,58,Children age 12-23 months who received most of the vaccinations in private health facility (%),Child Immunizations and Vitamin A Supplementation,8.6,3.1,5.1,6.5
Haryana,59,Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),7.6,7.7,7.7,10.3
Haryana,60,Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),Treatment of Childhood Diseases (children under age 5 years),67,57.1,60.6,24.3
Haryana,61,Children with diarrhoea in the last 2 weeks who received zinc (%),Treatment of Childhood Diseases (children under age 5 years),19.5,23.3,21.9,na
Haryana,62,Children with diarrhoea in the last 2 weeks taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),79.3,76.2,77.3,81.7
Haryana,63,Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),Treatment of Childhood Diseases (children under age 5 years),3.3,3.1,3.2,2.7
Haryana,64,Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),Treatment of Childhood Diseases (children under age 5 years),80.2,80,80.1,88.9
Haryana,65,Children under age 3 years breastfed within one hour of birth (%),Child Feeding Practices and Nutritional Status of Children,38.3,44.6,42.4,22.3
Haryana,66,Children under age 6 months exclusively breastfed (%),Child Feeding Practices and Nutritional Status of Children,46.6,52.4,50.3,16.9
Haryana,67,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),Child Feeding Practices and Nutritional Status of Children,38.8,34.5,35.9,42.6
Haryana,68,Breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,7.1,7,7,na
Haryana,69,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,10.7,9.5,10,na
Haryana,70,Total children age 6-23 months receiving an adequate diet (%),Child Feeding Practices and Nutritional Status of Children,7.8,7.4,7.5,na
Haryana,71,Children under 5 years who are stunted (height-for-age) (%),Child Feeding Practices and Nutritional Status of Children,33.4,34.3,34,45.7
Haryana,72,Children under 5 years who are wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,21,21.3,21.2,19.1
Haryana,73,Children under 5 years who are severely wasted (weight-for-height) (%),Child Feeding Practices and Nutritional Status of Children,9.2,8.9,9,5
Haryana,74,Children under 5 years who are underweight (weight-for-age) (%),Child Feeding Practices and Nutritional Status of Children,28.5,29.9,29.4,39.6
Haryana,75,Women whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),12.2,18.2,15.8,31.4
Haryana,76,Men whose Body Mass Index (BMI) is below normal (BMI < 18.5 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),9,12.9,11.3,30.9
Haryana,77,Women who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),24.3,18.8,21,17.4
Haryana,78,Men who are overweight or obese (BMI >= 25.0 kg/m2) (%),Nutritional Status of Adults (age 15-49 years),21,19.3,20,10.8
Haryana,79,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,69.6,72.9,71.7,72.3
Haryana,80,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),Anaemia among Children and Adults,61.4,64.2,63.1,55.2
Haryana,81,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),Anaemia among Children and Adults,50.2,58.1,55,69.7
Haryana,82,All women age 15-49 years who are anaemic (%),Anaemia among Children and Adults,60.8,63.9,62.7,56.1
Haryana,83,Men age 15-49 years who are anaemic (<13.0 g/dl) (%),Anaemia among Children and Adults,20.1,21.5,20.9,19.2
Haryana,84,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,5.7,4.2,4.8,na
Haryana,85,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Women,2.3,1.4,1.8,na
Haryana,86,Blood sugar level - high (>140 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,6.2,6.1,6.1,na
Haryana,87,Blood sugar level - very high (>160 mg/dl) (%),Blood Sugar Level among Adults (age 15-49 years) - Men,1.9,2.3,2.1,na
Haryana,88,Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,8.2,7.2,7.6,na
Haryana,89,Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,1.5,0.8,1.1,na
Haryana,90,Very high (Systolic 180 mm of Hg and/or Diastolic 110 mm of Hg) (%),Hypertension among Adults (age 15-49 years) - Women,0.6,0.5,0.5,na
